M16Ï1A20B10C10D12T01 0,0 
M16Ï1A20B10C20D12T01 0,82
M16Ï1A20B10C30D12T01 0,83
M16Ï1A20B10C40D12T01 0,84
M16Ï1A20B10C50D12T01 0,85
M16Ï1A20B10C60D12T01 0,9
M16Ï1A20B10C70D12T01 0,13
M16Ï1A20B10C80D12T01 0,17
M16Ï1A20B10C10D22T01 0,21
M16Ï1A20B10C20D22T01 0,18
M16Ï1A20B10C30D22T01 0,22
M16Ï1A20B10C40D22T01 0,6
M16Ï1A20B10C50D22T01 0,2
M16Ï1A20B10C60D22T01 0,55
M16Ï1A20B10C70D22T01 0,5
M16Ï1A20B10C80D22T01 0,32
M16Ï1A20B50C10D12T01 0,23
M16Ï1A20B50C20D12T01 0,20
M16Ï1A20B50C30T01 0,3
M16Ï1A20B50C40T01 0,11
M16Ï1A20B50C50T01 0,10
M16Ï1A20B40C20D22T05P01 0,36
M16Ï1A20B40C20D22T05P02 0,48
M16Ï1A20B40C20D22T05P03 0,59
M16Ï1A20B40C20D22T05P04 0,62
M16Ï1A20B40C20D22T05P05 0,63
M16Ï1A20B40C20D22T05P06 0,64
M16Ï1A20B40C20D22T05P07 0,65
M16Ï1A20B40C20D22T05P08 0,66
M16Ï2A10B12T22P01 0,90
M16Ï2A10B12T22P02 0,91
M16Ï2A10B22T22P01 0,92
M16Ï2A10B22T22P02 0,44
M16Ï2A50B12T22P01 0,29
M16Ï2A50B12T22P02 0,30
M16Ï2A50B22T22P01 1,30
M16Ï2A50B22T22P02 1,30
M16Ï2A20B12T22P02 1,30
M16Ï2A20B22T22P01 0,72
M16Ï2A20B22T22P02 0,93
M16Ï2A60B12T22P01 0,94
M16Ï2A60B12T22P02 0,96
M16Ï2A60B22T22P01 0,88
M16Ï2A60B22T22P02 0,95
M16Ï1A30B10C10D12T02 1,1,1
M16Ï1A30B10C20D12T02 1,1,2
M16Ï1A30B10C30D12T02 1,1,3
M16Ï1A30B10C40D12T02 1,1,4
M16Ï1A30B10C50D12T02 1,1,5
M16Ï1A30B10C60D12T02 1,1,6
M16Ï1A30B10C70D12T02 1,1,7
M16Ï1A30B10C80D12T02 1,1,8
M16Ï1A30B10C10D22T02 1,1,9
M16Ï1A30B10C20D22T02 1,1,10
M16Ï1A30B10C30D22T02 1,1,11
M16Ï1A30B10C40D22T02 1,1,12
M16Ï1A30B10C50D22T02 1,1,13
M16Ï1A30B10C60D22T02 1,1,14
M16Ï1A30B10C70D22T02 1,1,15
M16Ï1A30B10C80D22T02 1,1,16
M16Ï1A30B50C10D12T02 1,1,17
M16Ï1A30B50C20D12T02 1,1,18
M16Ï1A30B50C30D12T02 1,1,19
M16Ï1A30B50C40D12T02 1,1,20
M16Ï1A30B50C50D12T02 1,1,21
M16Ï1A30B50C60D12T02 1,1,22
M16Ï1A30B50C70D12T02 1,1,23
M16Ï1A30B50C80D12T02 1,1,24
M16Ï1A30B50C10D22T02 1,1,25
M16Ï1A30B50C20D22T02 1,1,26
M16Ï1A30B50C30D22T02 1,1,27
M16Ï1A30B50C40D22T02 1,1,28
M16Ï1A30B50C50D22T02 1,1,29
M16Ï1A30B50C60D22T02 1,1,30
M16Ï1A30B50C70D22T02 1,1,31
M16Ï1A30B50C80D22T02 1,1,32
M16Ï1A70B10C10D12T02 1,1,33
M16Ï1A70B10C20D12T02 1,1,34
M16Ï1A70B10C30D12T02 1,1,35
M16Ï1A70B10C40D12T02 1,1,36
M16Ï1A70B10C50D12T02 1,1,37
M16Ï1A70B10C60D12T02 1,1,38
M16Ï1A70B10C70D12T02 1,1,39
M16Ï1A70B10C80D12T02 1,1,40
M16Ï1A30B20C10D12T02 1,2,1
M16Ï1A30B20C20D12T02 1,2,2
M16Ï1A30B20C30D12T02 1,2,3
M16Ï1A30B20C40D12T02 1,2,4
M16Ï1A30B20C50D12T02 1,2,5
M16Ï1A30B20C60D12T02 1,2,6
M16Ï1A30B20C70D12T02 1,2,7
M16Ï1A30B20C80D12T02 1,2,8
M16Ï1A30B20C10D22T02 1,2,9
M16Ï1A30B20C20D22T02 1,2,10
M16Ï1A30B20C30D22T02 1,2,11
M16Ï1A30B20C40D22T02 1,2,12
M16Ï1A30B20C50D22T02 1,2,13
M16Ï1A30B20C60D22T02 1,2,14
M16Ï1A30B20C70D22T02 1,2,15
M16Ï1A30B20C80D22T02 1,2,16
M16Ï1A30B60C10D12T02 1,2,17
M16Ï1A30B60C20D12T02 1,2,18
M16Ï1A30B60C30D12T02 1,2,19
M16Ï1A30B60C40D12T02 1,2,20
M16Ï1A30B60C50D12T02 1,2,21
